timestamp,amount,hour,velocity_1h,device_risk,merchant_risk,is_international,card_age_days,chargeback_history,amount_over_1k,is_fraud
2025-01-01 00:00:00,116.84,0,1,0.2341,0.2661,0,1202,0,0,0
2025-01-01 00:01:00,29.64,0,1,0.6518,0.6601,0,1723,0,0,0
2025-01-01 00:02:00,184.1,0,1,0.24,0.495,0,2185,0,0,0
2025-01-01 00:03:00,223.49,0,1,0.0788,0.4163,0,1193,0,0,0
2025-01-01 00:04:00,11.7,0,0,0.3201,0.2039,0,1259,0,0,1
2025-01-01 00:05:00,22.69,0,0,0.3396,0.5853,0,487,0,0,0
2025-01-01 00:06:00,97.55,0,1,0.2801,0.5539,0,2247,0,0,0
2025-01-01 00:07:00,62.02,0,0,0.1629,0.3712,0,1369,0,0,0
2025-01-01 00:08:00,84.17,0,2,0.3842,0.6346,0,948,0,0,0
2025-01-01 00:09:00,35.87,0,0,0.4918,0.6967,0,1318,0,0,0
2025-01-01 00:10:00,209.97,0,2,0.2247,0.6473,0,242,1,0,1
2025-01-01 00:11:00,189.3,0,3,0.4711,0.5458,0,843,0,0,0
2025-01-01 00:12:00,91.59,0,1,0.1302,0.3943,0,1085,0,0,1
2025-01-01 00:13:00,270.37,0,1,0.3527,0.2052,0,179,0,0,0
2025-01-01 00:14:00,137.95,0,1,0.3303,0.2147,0,2193,0,0,0
2025-01-01 00:15:00,35.64,0,3,0.1578,0.4888,0,1247,1,0,0
2025-01-01 00:16:00,124.73,0,2,0.2174,0.6519,0,831,0,0,0
2025-01-01 00:17:00,32.2,0,1,0.416,0.3186,0,659,1,0,0
2025-01-01 00:18:00,209.77,0,1,0.1677,0.2531,0,1612,1,0,0
2025-01-01 00:19:00,81.38,0,0,0.2706,0.7188,0,1934,0,0,0
2025-01-01 00:20:00,70.91,0,2,0.1587,0.4832,0,2329,0,0,0
2025-01-01 00:21:00,42.75,0,2,0.4888,0.3359,0,1936,1,0,1
2025-01-01 00:22:00,297.97,0,1,0.0816,0.3174,0,849,0,0,0
2025-01-01 00:23:00,73.14,0,3,0.2146,0.0713,0,1875,1,0,1
2025-01-01 00:24:00,55.32,0,1,0.3862,0.1637,0,112,0,0,0
2025-01-01 00:25:00,59.79,0,3,0.3064,0.0824,0,1155,0,0,0
2025-01-01 00:26:00,147.37,0,1,0.0678,0.3958,0,213,1,0,0
2025-01-01 00:27:00,124.31,0,5,0.2482,0.5238,0,2203,0,0,0
2025-01-01 00:28:00,130.45,0,3,0.1549,0.4947,1,413,0,0,1
2025-01-01 00:29:00,132.88,0,3,0.1599,0.8525,0,1233,0,0,1
2025-01-01 00:30:00,760.88,0,0,0.1494,0.5891,0,1981,0,0,0
2025-01-01 00:31:00,56.57,0,0,0.1075,0.5853,0,11,0,0,0
2025-01-01 00:32:00,50.78,0,2,0.5733,0.6399,0,1996,0,0,0
2025-01-01 00:33:00,37.34,0,1,0.2934,0.1594,0,918,1,0,0
2025-01-01 00:34:00,160.5,0,3,0.1512,0.5628,0,1633,0,0,0
2025-01-01 00:35:00,270.85,0,0,0.1292,0.4593,0,601,0,0,0
2025-01-01 00:36:00,76.23,0,3,0.1811,0.0712,1,1322,0,0,0
2025-01-01 00:37:00,36.34,0,3,0.2206,0.3057,0,121,0,0,0
2025-01-01 00:38:00,36.93,0,3,0.1545,0.616,0,253,0,0,0
2025-01-01 00:39:00,166.27,0,0,0.1942,0.3137,0,57,0,0,0
2025-01-01 00:40:00,182.75,0,0,0.267,0.3523,1,1510,0,0,1
2025-01-01 00:41:00,149.01,0,4,0.238,0.7381,0,1335,0,0,0
2025-01-01 00:42:00,43.43,0,0,0.1821,0.3732,0,735,0,0,0
2025-01-01 00:43:00,108.51,0,3,0.0915,0.3767,0,2300,0,0,0
2025-01-01 00:44:00,96.45,0,1,0.1747,0.5115,0,2273,0,0,0
2025-01-01 00:45:00,107.02,0,2,0.1249,0.2345,0,246,0,0,0
